urllength,isdomainip,tldlength,noofsubdomain,noofdigits,noofspecialcharacters,ishttps,label
32,0,3,0,0,2,1,0
24,0,3,0,0,3,1,0
30,0,2,1,0,3,1,0
27,0,3,0,0,2,1,0
34,0,3,0,0,2,1,0
31,0,3,0,0,2,1,0
26,0,3,0,0,2,1,0
30,0,2,0,0,2,1,0
19,0,3,0,0,2,1,0
28,0,3,0,0,2,1,0
21,0,3,0,2,2,1,0
25,0,3,0,0,2,1,0
21,0,2,0,0,2,1,0
22,0,2,0,0,2,1,0
22,0,3,0,0,2,1,0
23,0,2,1,0,3,1,0
29,0,3,0,0,2,1,0
34,0,2,2,0,4,1,0
37,0,4,0,0,2,1,0
24,0,2,1,0,3,1,0
33,0,3,0,0,2,1,0
20,0,2,0,0,2,1,0
28,0,2,1,0,3,1,0
36,0,2,1,0,3,1,0
18,0,2,0,0,2,1,0
26,0,2,0,0,2,1,0
23,0,3,0,0,2,1,0
35,0,2,0,0,2,1,0
24,0,7,0,1,2,1,0
35,0,3,0,0,2,1,0
20,0,3,0,0,2,1,0
25,0,2,0,0,2,1,0
28,0,4,1,0,4,1,0
41,0,3,0,0,2,1,0
21,0,2,1,0,3,1,0
25,0,3,1,0,3,1,0
21,0,3,0,0,2,1,0
29,0,5,0,0,2,1,0
32,0,3,0,0,4,1,0
31,0,2,0,0,2,1,0
23,0,3,1,0,3,1,0
22,0,2,1,0,3,1,0
18,0,2,0,3,2,1,0
24,0,5,0,0,2,1,0
31,0,9,0,0,3,1,0
47,0,3,0,0,2,1,0
36,0,3,0,0,2,1,0
36,0,7,0,0,4,1,0
24,0,3,1,0,3,1,0
33,0,2,1,0,3,1,0
30,0,4,1,0,4,1,0
27,0,2,1,0,3,1,0
23,0,3,0,0,3,1,0
26,0,5,0,0,2,1,0
27,0,2,0,0,2,1,0
39,0,3,0,0,2,1,0
40,0,3,0,0,2,1,0
32,0,2,0,0,4,1,0
24,0,4,0,0,2,1,0
32,0,6,0,0,3,1,0
31,0,2,1,0,3,1,0
30,0,3,0,0,2,1,0
25,0,4,0,0,3,1,0
26,0,2,1,1,3,1,0
25,0,2,1,0,3,1,0
26,0,2,1,0,3,1,0
24,0,3,0,0,2,1,0
28,0,2,0,0,2,1,0
36,0,8,0,0,3,1,0
29,0,2,0,0,2,1,0
31,0,4,0,0,3,1,0
38,0,3,0,0,2,1,0
37,0,3,0,0,2,1,0
19,0,2,0,0,2,1,0
24,0,2,0,0,2,1,0
24,0,6,0,0,2,1,0
25,0,3,0,1,2,1,0
33,0,2,0,0,4,1,0
26,0,6,0,0,3,1,0
31,0,13,0,1,2,1,0
25,0,1,2,2,4,1,0
31,0,2,2,0,4,1,0
26,0,4,0,0,3,1,0
36,0,10,0,0,3,1,0
34,0,2,1,0,3,1,0
34,0,3,1,0,4,1,0
29,0,1,2,2,4,1,0
24,0,1,1,1,3,1,0
45,0,8,0,0,4,1,0
35,0,2,1,0,3,1,0
28,0,2,2,0,4,1,0
23,0,2,0,0,2,1,0
27,0,3,0,0,3,1,0
39,0,2,0,0,2,1,0
32,0,4,0,0,2,1,0
38,0,7,0,0,3,1,0
38,0,11,0,0,3,1,0
25,0,5,0,0,3,1,0
32,0,9,0,0,3,1,0
30,0,5,0,0,3,1,0
21,0,3,0,1,2,1,0
23,0,4,0,0,2,1,0
17,0,2,0,0,2,1,0
27,0,5,0,0,3,1,0
28,0,4,0,0,3,1,0
40,0,11,0,0,3,1,0
44,0,3,0,0,2,1,0
23,0,2,0,0,3,1,0
34,0,15,0,0,3,1,0
30,0,6,0,0,3,1,0
26,0,5,0,0,3,1,0
29,0,4,0,0,4,1,0
30,0,3,1,0,3,1,0
36,0,10,1,0,4,1,0
37,0,2,1,0,3,1,0
23,0,3,0,1,2,1,0
29,0,3,0,4,2,1,0
36,0,5,0,0,4,1,0
38,0,2,0,0,2,1,0
33,0,2,0,0,2,1,0
35,0,12,0,0,3,1,0
31,0,6,0,0,2,1,0
32,0,2,1,0,3,1,0
27,0,3,1,0,3,1,0
25,0,6,0,3,2,1,0
22,0,4,0,0,3,1,0
26,0,8,0,1,2,1,0
33,0,3,1,0,3,1,0
29,0,2,1,0,3,1,0
25,0,6,0,0,3,1,0
34,0,8,0,1,2,1,0
31,0,3,1,0,3,1,0
22,0,5,0,2,2,1,0
25,0,2,0,0,3,1,0
36,0,2,0,0,2,1,0
34,0,3,0,0,4,1,0
36,0,11,0,0,3,1,0
35,0,8,0,0,3,1,0
23,0,4,0,0,3,1,0
26,0,4,0,1,3,1,0
36,0,5,1,0,4,1,0
35,0,5,0,0,3,1,0
33,0,10,0,0,3,1,0
28,0,6,0,0,3,1,0
25,0,2,0,4,3,1,0
24,0,6,0,3,2,1,0
22,0,3,0,0,3,1,0
26,0,5,0,1,2,1,0
26,0,2,2,0,4,1,0
25,0,2,2,0,4,1,0
27,0,3,0,1,2,1,0
33,0,8,0,0,3,1,0
32,0,8,0,0,3,1,0
30,0,8,0,0,3,1,0
21,0,1,0,0,3,1,0
31,0,8,0,0,3,1,0
27,0,7,1,0,4,1,0
24,0,2,0,0,3,1,0
28,0,5,0,0,3,1,0
23,0,1,0,1,2,1,0
41,0,2,0,0,2,1,0
26,0,3,1,0,3,1,0
32,0,5,1,0,4,1,0
35,0,7,0,0,4,1,0
34,0,9,1,0,4,1,0
36,0,17,0,3,2,1,0
23,0,7,0,0,2,1,0
32,0,2,0,0,2,1,0
25,0,3,0,0,3,1,0
29,0,9,0,0,3,1,0
